Name,Gender,pronunciation,Type,Sub-type,Igbo Orthography,Translation,Meaning,Related Names,Notes,Famous persons,Name Spread,Ndebe Script
Makuo,,,,,/Mak??/ Embrace. Commonly Makuochukwu,,,,,,,
Makuochukwu,,,,,/Mak??-chukwu/ Embrace God,,,,,,,
Makwudo,,,,,Embrace ,,,,,,,
Malife,,,,,/Mal?-?fe/ Get understanding,,,,,,,
Mbadiwe,,,,,/Mba-d?-iwe/ A community/nation that is seething,,,,,,,
Mbadugha,,,,,/Mba-d?-?gha/ A community/nation trades in deceit ,,,,,,,
Mbaebie,,,,,A nation has ended,,,,,,,
Mbaekwe,,,,,/Mba-ekwe/ The Nation disagrees,,,,,,,
Mbagu,,,,,"/Mba-ag?/ The leopard's roar. * We know this name sound like ""Mbaku"" from Black Panther comics but this is the original",,,,,,,
Mbagwu,,,,,,,,,,,,
Mbaka,,,,,/Mba-ka/ short for 'Mba-ka-ogu'. Scolding or Verbal caution is better than a fight,,,,,,,
Mbakwe,,,,,/Mba-kwe/ If the community or nation approves,,,,,,,
Mbamalu,,,,,/Mba-malu/ That the community may become aware,,,,,,,
Mbanefo,,,,,,,,,,,,
Mbanugo,,,,,/Mba-anugo/ The nation/community has heard (a message). A var of Igboanugo,,,,,,,
Mbanusi,,,,,,,,,,,,
Mbanuzuru,,,,,/Mba-n?zuru/ All of the nations heard,,,,,,,
Mbanwusi,,,,,/Mba-anw?s?/ Let the nation not die off,,,,,,,
Mbawike,,,,,/Mba-w?-ike/ Scolding or verbal outrage is strength,,,,,,,
Mbonu,,,,,/Mba-?n?/ Verbal Chastisement,,,,,,,
Mefor,,,,,,,,,,,,
Meka,,,,,,,,,,,,
Mezue,,,,,/Mezue/ Fulfiill (as in promise),,,,,,,
Mgbafor,,,,,/Mgbe Af?/ On Afo day. Usually given to a female born on Afor,,,,,,,
Mgbakor,,,,,,,,,,,,
Mgbebu,,,,,,,,,,,,
Mgbeke,,,,,/Mgbe-Eke/ On Eke day. Usually given to a female born on Eke,,,,,,,
Mgbeoji,,,,,,,,,,,,
Mgboye,,,,,/Mgbe-Oye/ On Oye day. Usually given to a female born on Oye ,,,,,,,
Mkparu,,,,,/Mkpa-ar?/ Material needs,,,,,,,
Mkpulumma,,,,,/Mkp?l?-mma/ A seed of beauty,,,,,,,
Mmadu,,,,,"/Mma-d?/ lit: Human(s). Etymology: ""Mma du"" let good exist.",,,,,,,
Mmaduba,,,,,/Mmadu-baa/ Let good thing continue to be ,,,,,,,
Mmadubueze,,,,,/Mmad?-b?-eze/ lit. It is a human that is king. Imp. The king is human and cannot be beyond reproach. (Speak without fear),,,,,,,
Mmaduneme,,,,,/Mmad?-na-eme/ It is humans who cause things to happen,,,,,,,
Mmaegbunem,,,,,/Mma-egbune-m/ May my good deed never destroy me. A var. of Ogoegbunem,,,,,,,
Mmegbu,,,,,/Mmegbu/ Unfair treatment,,,,,,,
Mmeso,,,,,/Mmeso/ short for Mmesoma,,,,,,,
Mmesoma,,,,,/Mmeso-?ma/ Kind acts,,,,,,,
Mmesomachi,,,,,/Mmeso-?ma/ Kind acts of God,,,,,,,
Mmuo,,,,,/Mm??/ Spirit,,,,,,,
Mmuoma,,,,,/Mm??-ma/ The Spirit Knows. Also rendered as Momah. A var. of Chukwuma,,,,,,,
Modezie,,,,, See Modozie,,,,,,,
Modilim,,,,,/Mm??-d?l?-m/ Let the spirit being be on my side.,,,,,,,
Mogbo,,,,,"/Mm??-gboo/. Short for 1. ""Mm??-gboo-nkpa"" May the spirit supply my needs 2. ""Mm??-gboo-?g?"" May the spirit settle a dispute. Also rendered as Muogbo. A var. of Chigbo",,,,,,,
Moghalu,,,,,/Mm??-gha-lu/ Let the spirit evade me. Also rendered as Muoghalu,,,,,,,
Mokwelu,,,,,/Mm??-kwelu/ The spirit being is deserving,,,,,,,
Mokwugwo,,,,,/Mm??-kw??-?gw?/ Let the spirit being pay its debt,,,,,,,
Molokwu,,,,,,,,,,,,
Momah,,,,,/Mm??-ma/ The Spirit Knows. Also rendered as Mmuoma. A var. of Chukwuma,,,,,,,
Moneke,,,,,/Mm??-na-eke/ The spirit creates or The spirit which creates or the creating spirit as in Chineke,,,,,,,
Monye,,,,,/Mm??-nye/ The spirit provided.,,,,,,,
Monye,,,,,/Mm??-nye/ The spirit gave. Something believed to have been given by the spirit.,,,,,,,
Morah,,,,,/Mmuo-raa/ Let the spirit being leave me be. ,,,,,,,
Motoh,,,,,"Contraction of the words Mm?? (""spirit beings"") and too (""to praise""). Meaning: The spirit beings/Ancestors praise (me). A var. of Anaeto",,,,,,,
Mozie,,,,,/Mm??-zie/ contraction of Modozie,,,,,,,
Mukosolu,,,,,/M?-ka-?s?l?/ It pleases me,,,,,,,
Munachi,,,,,/M?-na-chi/ lit: I and Chi. Short for Munachimso Also shortened to Muna,,,,,,,
Munachimso,,,,,/M?-na-chi-m-so/ I and my Chi journey together. Sometimes shortened to Munachi or Muna,,,,,,,
Muogbo,,,,,"/Mm??-gboo/. Short for 1. ""Mm??-gboo-nkpa"" May the spirit supply my needs 2. ""Mm??-gboo-?g?"" May the spirit settle a dispute. Also rendered as Mogbo. A var. of Chigbo",,,,,,,
Muoghalu,,,,,/Mm??-gha-lu/ Let the spirit evade me. Also rendered as Moghalu,,,,,,,
Muojekwe,,,,,/Mm??-jee-ekwe/ The Spirit beings/Ancestors shall approve. Answer to the name: Onyejekwe,,,,,,,
Muojiama,,,,,/Mm??-ji-ama/ The Spirit being defends the Amah,,,,,,,
Muokwugwo,,,,,/Mm??-kw??-?gw?/ May the spirit being pay/judge everyone in kind,,,,,,,
Nchedo,,,,,/Nchedo/ Hope,,,,,,,
Ndefo,,,,,,,,,,,,
Ndibe,,,,,/Nd?-?be/ My kiths or peers,,,,,,,
Ndidi,,,,,/Ndidi/ Patience,,,,,,,
Ndidiamaka,,,,,/Ndidi-amaka/ lit: Patience is so beautiful. Imp: Patience is a virtue,,,,,,,
Ndife,,,,,/Nd?-?fe/ The people of the light,,,,,,,
Ndigwe,,,,,/Nd?-igwe/ Being from a (family of) multitude (descendants.) ,,,,,,,
Ndubuaku,,,,,/Nd?-b?-ak?/ Life is wealth,,,,,,,
Ndubueze,,,,,/Nd?-b?-eze/ Life is king,,,,,,,
Ndubuisi,,,,,/Nd?-b?-isi/ Life/living is paramount,,,,,,,
Ndukwe,,,,,/Ndu-kwe/ Let life permit. *plea for the long life of a child who had arrived after previous premature deaths and unsuccessful pregnancies. See also Onwukwe,,,,,,,
Ndulue,,,,,/Ndu-lue/ lit: May life reach me. *A prayer for life.,,,,,,,
Ndum,,,,,"/Ndum/ 1. Short form for ""Ndu mm??"" The spirits. 2. My people 3. My Life",,,,,,,
Nduoma,,,,,A well lived life; A good life,,,,,,,
Nebedum,,,,,,,,,,,,
Nebeolisa,,,,,/Nebe-olisa/ Keep your eyes on Olisa,,,,,,,
Ngene,,,,,/Ngene/ A river deity,,,,,,,
Ngige,,,,,/Ngige/ Fence; Barrier,,,,,,,
Ngoka,,,,,,,,,,,,
Ngozi,,,,,/Ng?z?/ Blessing,,,,,,,
Ngozika,,,,,"Contraction of ""Ngozi chukwu ka"" The blessing of God is greater.",,,,,,,
Ngwu,,,,,/Ngwu/ A deity in certain Igbo communities in Enugu and Anambra state. Bears similarities with Ogwugwu See Okongwu,,,,,,,
Ngwube,,,,,/Ngwube/ Founding or foundation,,,,,,,
Njideka,,,,,,,,,,,,
Njoku,,,,,,,,,,,,
Nkachukwu,,,,,/Nka-chukwu/ God's craft (work),,,,,,,
Nkamigbo,,,,,,,,,,,,
Nkechi,,,,,/Nke-chi/ God's own,,,,,,,
Nkechinyere,,,,,/Nke-chi-nyere/ One or a thing given by God or God's gift,,,,,,,
Nkem,,,,,"/Nke-m/ Mine. also short for Nkemakonam, Nkemdilim",,,,,,,
Nkemakonam,,,,,/Nke-m-ak?na-m/ May I not want for what is mine,,,,,,,
Nkemdilim,,,,,/Nke-m-d?l?-m/ May what is mine be mine or May I never be denied of my portion. A dialectal var. of Nkemdirim,,,,,,,
Nkemdirim,,,,,/Nke-m-d?r?-m/ May what is mine be mine or  May I never be denied of my portion. A dialectal var. of Nkemdilim,,,,,,,
Nkemjika,,,,,/Nke-m-j?-ka/ What's in my possession worths more or is far better ,,,,,,,
Nkeoma,,,,,/Nke-?ma/ A good one,,,,,,,
Nkiru,,,,,/Nke-?r?/ The future,,,,,,,
Nkiruka,,,,,/Nke-?r?-ka/ What the future hold is far better. Alt: Iruka,,,,,,,
Nkwo,,,,,/Nkw?/ One of the four Igbo Market Days. The fourth day in the Igbo week,,,,,,,
Nkwocha,,,,,,,,,,,,
Nnabuenyi,,,,,/Nna-b?-eny?/ lit: Father is the elephant. imp: Father is great,,,,,,,
Nnabueze,,,,,/Nna-b?-eze/ The father is king,,,,,,,
Nnabuife,,,,,/Nna-b?-?fe/ Fatherhood is a great thing,,,,,,,
Nnacho,,,,,,,,,,,,
Nnadi,,,,,/Nna-di/ The father lives,,,,,,,
Nnadozie,,,,,/Nna-dozie/ May the Father mend or repair (something),,,,,,,
Nnaebue,,,,,/Nna-ebue/ The father has increased,,,,,,,
Nnaemeka,,,,,/Nna-emeka/ The father did so well,,,,,,,
Nnaji,,,,,/Nna-ji/ The father holds. Commonly short for Nnajiofor,,,,,,,
Nnajiofor,,,,,/Nna-ji-?f?/ The father holds the Ofor,,,,,,,
Nnake,,,,,,,,,,,,
Nnakwe,,,,,/Nna-kwe/ If the father agrees or permits,,,,,,,
Nnamani,,,,,,,,,,,,
Nnamdi,,,,,/Nna-m-d?/ My father is or My father lives,,,,,,,
Nnaneduzor,,,,,/Nna-na-edu-?z?/ The father leads the way. A var. of Chinedu,,,,,,,
Nnanna,,,,,/Nna-nna/ The father's father; Grandfather. A name given to a child in honor of his grandfather,,,,,,,
Nnanwube,,,,,/Nna-nwe-ube/ The father owns/wields the spear (a sceptre of leadership or symbol of authority),,,,,,,
Nnanyelugo,,,,,/Nna-nyelu-ugo/ The father bestowed honour. A var. of Chinyelugo,,,,,,,
Nnatu,,,,,,,,,,,,
Nneamaka,,,,,/Nne-amaka/ Mother or motherhood is so beautiful,,,,,,,
Nnebe,,,,,,,,,,,,
Nnebedum,,,,,,,,,,,,
Nnebisi,,,,,/Nne-b?-isi/ Mother is paramount,,,,,,,
Nnebuife,,,,,/Nne-b?-?fe/ Mother/motherhood is remarkable,,,,,,,
Nnebuzo,,,,,/Nne-b?-?z?/ The mother comes first or The mother who comes first,,,,,,,
Nnedi,,,,,/Nne-di/ The mother lives. See male equivalent: Nnamdi. Also short for Nnedimma,,,,,,,
Nnedimma,,,,,/Nne-d?-mma/ The mother(hood) is good or The good mother,,,,,,,
Nneji,,,,,See Nnejindu,,,,,,,
Nnejindu,,,,,/Nne-j?-nd?/ Mothers or motherhood holds life.,,,,,,,
Nneka,,,,,/Nne-ka/ Mothers are superior,,,,,,,
Nnena,,,,,/Nne-nna/ The father's mother. A name given to a female child in honour to her grandmother. ,,,,,,,
Nneoma,,,,,/Nne-?ma/ Good mother,,,,,,,
Nnerike,,,,,/Nne-erike/ The mother is phenomenal,,,,,,,
Nnodu,,,,,/Nn?d?/ To stay or remain,,,,,,,
Nnoje,,,,,,,,,,,,
Nnolim,,,,,,,,,,,,
Nnopu,,,,,/Nn?p?/ Separation,,,,,,,
Nosike,,,,,/N?-sie-ike/ Stay confidently or boldly. To be without fear,,,,,,,
Nsofor,,,,,/Ns?-?f?/ The rules guiding the Ofor,,,,,,,
Ntikwe,,,,,/Nt?-kwe/ Let the ear listen or If the ear would listen,,,,,,,
Ntukogu,,,,,/Nt?-ka-?g?/ Lying is better than fighting,,,,,,,
Nwabashili,,,,,,,,,,,,
Nwabia,,,,,/Nwa-ab?a/ A child has arrived,,,,,,,
Nwabu,,,,,/Nwa-b?/ Short for Nwabunwanne,,,,,,,
Nwabue,,,,,/Nwa-bue/ May the child increase abound,,,,,,,
Nwabueze,,,,,/Nwa-b?-eze/ The child who is king,,,,,,,
Nwabugo,,,,,/Nwa-b?-ugo/ A Child is an honour.,,,,,,,
Nwabugwu,,,,,/Nwa-b?-ugwu/ A Child bestows respect- A Child is dignifying.,,,,,,,
Nwabuike,,,,,/Nwa-b?-?ke/ A child is (one's) strength,,,,,,,
Nwabuikwu,,,,,/Nwa-b?-ikwu/ Child is one's kin. Imp: A child is one's blood. See Nwabunwanne,,,,,,,
Nwabunwanne,,,,,/Nwa-b?-nwanne/ One's child is (also) one's sibling,,,,,,,
Nwabuogo,,,,,/Nwa-b?-?g?/ A child is a favour,,,,,,,
Nwachukwu,,,,,/Nwa-chukwu/ Child of God.,,,,,,,
Nwadihi,,,,,,,,,,,,
Nwadiora,,,,,/Nwa-di-?ra/ Full expression is Nwa-di-?ra-mma: A child pleasing to the community,,,,,,,
Nwadukwe,,,,,"/Nwa-di-?kwe/ Contraction of ""Nwa di na ?kwe"":  Children or descendants aplenty",,,,,,,
Nwaegbu,,,,,,,,,,,,
Nwaeri,,,,,/Nwa-eri/ A child of Eri. *Eri is believed to be the patriarch of many igbo communities. He is considered to be the first man in some Igbo mythology. He is thought to have migrated from Igalla by some accounts,,,,,,,
Nwaezenagu,,,,,/Nwa-eze-na-agu/ One desirous of the Kingship. Apparently a full version of the name Ezenagu,,,,,,,
Nwafor,,,,,/Nwa-af?/ One (male) born on Afor day,,,,,,,
Nwafulume,,,,,/Nwa-fulu-ume/ A child who is capable (of attaining nobility),,,,,,,
Nwagbara,,,,,/Nwa-agbara/ Child of Agbara,,,,,,,
Nwagu,,,,,/Nwa-agu/ lit: Child of a leopard or Leopard's cub,,,,,,,
Nwagwu,,,,,/Nwa-agwu/ Child of Agwu,,,,,,,
Nwaigbo,,,,,"/Nwa-igbo/ lit: The child of the Igbos. imp: A child who would be in service of the Igbos. See Nwora, Nwobodo",,,,,,,
Nwajiagu,,,,,/Nwa-ji-agu/ The Child who holds the Leopard or The Child who has tamed the leopard,,,,,,,
Nwajiaku,,,,,/Nwa-ji-ak?/ A wealthy child.,,,,,,,
Nwajiani,,,,,/Nwa-ji-an?/ The Child who has Ani (as god),,,,,,,
Nwaka,,,,,/Nwa-ka/ A child is the most important,,,,,,,
Nwakaeme,,,,,/Nwa-ka-eme/ (Ones) Child does the most (good),,,,,,,
Nwakali,,,,,/Nwaka-al?/ A priest of  Ali or A child dedicated to Ali,,,,,,,
Nwakalo,,,,,/Nwaka-Al?/ A priest of Alor deity or Child dedicated to Alor deity. Also rendered as Nwakalor,,,,,,,
Nwakalor,,,,,/Nwa-ka-Al?/ A priest of Alor deity or Child dedicated to Alor deity. Also rendered as Nwakalo,,,,,,,
Nwakibeya,,,,,/Nwa-ka-?be-ya/ A child eminent over his peers,,,,,,,
Nwakpadolu,,,,,,,,,,,,
Nwali,,,,,/Nwa-al?/ Child of Ali. A dialectal var. of Nwani or Nwana in some dialects,,,,,,,
Nwalusi,,,,,/Nwa-Alusi/ Child of a deity,,,,,,,
Nwamachukwu,,,,,/Nwa-ama-chukwu/A Child that bears witness for God.,,,,,,,
Nwamaka,,,,,/Nwa-amaka/ A child is so beautiful,,,,,,,
Nwamba,,,,,/Nwa-mba/ The child of the nation,,,,,,,
Nwamgba,,,,,/Nwa-mgba/ Wrestler,,,,,,,
Nwamma,,,,,/Nwa-mma/ lit. Child of Beauty. Beautiful child,,,,,,,
Nwana,,,,,/Nwa-Ana/ Child of Ana,,,,,,,
Nwanenye,,,,,/Nwa-na-enye/ A child gives (joy). See Chineye,,,,,,,
Nwaneri,,,,,/Nwa-na-eri/ Child who is living the good life. See Obiageri and Nwarieji,,,,,,,
Nwangene,,,,,/Nwa-Ngene/ lit: Child of Ngene. A child believed to have been given by or to have come from the deity or one dedicated to the deity.,,,,,,,
Nwangwu,,,,,/Nwa-Ngwu/ lit: Child of Ngwu. A child believed to have been given by or to have come from the deity or one dedicated to the deity. See Okongwu,,,,,,,
Nwani,,,,,/Nwa-An?/ lit: Child of Ani. A child believed to have been given by or to have come from the deity or one dedicated to the deity.,,,,,,,
Nwanke,,,,,,,,,,,,
Nwankpa,,,,,/Nwa-nkpa/ lit: A child of need. imp: A child who had taken time to arrive,,,,,,,
Nwankwo,,,,,/Nwa-Nkw?/ Child (male) born on Nkwo day,,,,,,,
Nwanna,,,,,/Nwa-nna/ Child of the father,,,,,,,
Nwanosike,,,,,/Nwa-N?-sie-ike/ Child who sits or stands confidently or boldly.,,,,,,,
Nwanri,,,,,/Nwa-Nri/ Child of Nri or Someone from Nri,,,,,,,
Nwanyanwu,,,,,/Nwa-Anyanw?/ The child of or devotee of or one dedicated to Anyanwu,,,,,,,
Nwaoboshi,,,,,,,,,,,,
Nwaogu,,,,,"/Nwa-?g?/ 1. Child of war 2. Child born to wage war. *particularly of a child born at a time of war or strife. Also rendered as Nworgu, Nwogu",,,,,,,
Nwaogueze,,,,,/Nwa-?g?-eze/ The Child who fights the kings war,,,,,,,
Nwaoyeocha,,,,,,,,,,,,
Nwapa,,,,,,,,,,,,
Nwarieji,,,,,/Nwa-rie-ji/ The Child should eat yam. Yam is a symbol of wealth in Igbo community- Name is possibly from a yam rich/farming community implying that the child has nothing to worry about,,,,,,,
Nwasike,,,,,A contraction of Nwanosike ,,,,,,,
Nwasokwa,,,,,,,,,,,,
Nwaugo,,,,,/Nwa-ugo/ 1. A Child that brought honour. 2. Child of the eagle,,,,,,,
Nwazu,,,,,,,,,,,,
Nwazuruahu,,,,,/Nwa-zuru-ahu/ Children abound,,,,,,,
Nwegwunatu,,,,,/Nwa-egwu-na-at?/ Child who is afraid.,,,,,,,
Nwejiaka,,,,,/Nwa-eji-aka/ The child by which we prevail,,,,,,,
Nweke,,,,,/Nwa-eke/ Child of the Eke day (Commonly used for male children born on the Eke market day),,,,,,,
Nweku,,,,,/Nwa-eku/ lit: A child who is borne in one's hands. imp: Child under protection,,,,,,,
Nwemeluwa,,,,,,,,,,,,
Nweze,,,,,/Nwa-eze/ lit: The king's child. Prince or Princess,,,,,,,
Nwigwe,,,,,/Nwa-igwe/ 1. Child of the heavens 2. Child of the multitude. 3. possibly short for Nwigwenagu,,,,,,,
Nwigwenagu,,,,,/Nwa-igwe-na-agu/ 1. The child who desires a great many descendants.,,,,,,,
Nwike,,,,,/Nwa-ike/ Child of Power or  Strong child,,,,,,,
Nwikwu,,,,,/Nwa-?kwu/ 1. lit: Child of the kins. 2. Short for Nwabuikwu,,,,,,,
Nwimo,,,,,/Nwa-imo/ Child of Imo,,,,,,,
Nwiyi,,,,,/Nwa-iyi/ Child of the stream,,,,,,,
Nwizu,,,,,/Nwa-izu/ lit: Child of a gathering imp: A child who came by consensus,,,,,,,
Nwobi,,,,,/Nwa-obi/ Child of the Obi,,,,,,,
Nwobodo,,,,,"/Nwa-obodo/ The child of the community. Imp: A child who'd be in service of the community See Nwora, Nwaigbo",,,,,,,
Nwobu,,,,,/Nwa-obu/ The child of the Obu,,,,,,,
Nwobualor,,,,,/Nwa-obu-al?/ A child who has come from the Obu of Alor deity,,,,,,,
Nwobum,,,,,/Nwa-obu-m/ Child of my Obu,,,,,,,
Nwoga,,,,,,,,,,,,
Nwogbo,,,,,/Nwa-ogbo/ A child of my companionship,,,,,,,
Nwogu,,,,,"/Nwa-?g?/ A child of war or One born to wage war. *particularly of a child born at a time of war or strife. Also rendered as Nwaogu, Nworgu.",,,,,,,
Nwokeabia,,,,,/Nwoke-ab?a/ A man has come,,,,,,,
Nwokeocha,,,,,/Nwoke-?cha/ Light complexioned male,,,,,,,
Nwokeoji,,,,,/Nwoke-Oji/ A dark complexioned male,,,,,,,
Nwokike,,,,,/Nwa-Okike/ Child of creation. A,,,,,,,
Nwokike,,,,,/Nwa-okike/ Child of Creation,,,,,,,
Nwoko,,,,,A male child or Man. A dialectal equivalent of Nwoke,,,,,,,
Nwokolo,,,,,/Nwa-Okolo/ A male child. A dialectal var. of Nwokoro,,,,,,,
Nwokoro,,,,,/Nwa-Okoro/ A male child. A dialectal var. of Nwokolo,,,,,,,
Nwolisa,,,,,/Nwa-olisa/ Child of Olisa,,,,,,,
Nwolu,,,,,,,,,,,,
Nwora,,,,,/Nwa-?ra/ lit: The Child of the people. Imp: A child who would be in service of the people. Also rendered Nworah,,,,,,,
Nworgu,,,,,"/Nwa-?g?/ A child of war or One born to wage war. *particularly of a child born at a time of war or strife. Also rendered as Nwaogu, Nwogu.",,,,,,,
Nwosa,,,,,/Nwa-osa/ Child of Osa. Contraction of Nwolisa,,,,,,,
Nwosu,,,,,/Nwa-osu/ A child devoted/set aside to/for (a specific god),,,,,,,
Nwosungene,,,,,/Nwa-osu-Ngene/ Child dedicated to Ngene,,,,,,,
Nwoye,,,,,/Nwa-Oye/ Child (male) born on Oye day,,,,,,,
Nwozor,,,,,/Nwa-?z?/ Child of an Ozo titled man,,,,,,,
Nwuba,,,,,/Nwa-?ba/ Child of Prosperity,,,,,,,
Nwubani,,,,,/Nwa-?ban?/ lit: Child of Ubani. Imp: Child from Bonny,,,,,,,
Nwude,,,,,/Nwa-ude/ A child who would be famous,,,,,,,
Nwuke,,,,,/Nwa-uke/ Someone from Uke. *Uke is a town in Anambra state,,,,,,,
Nwune,,,,,/Nwunne/ Brother. A dialectal var of Nwanne,,,,,,,
Nwuneli,,,,,/Nwunne-eli/ Corruption of Nwunenyelu meaning The gift of brotherliness,,,,,,,
Nwuwa,,,,,/Nwa-?wa/ Child of the world,,,,,,,
Nwuya,,,,,/Nwa-?ya/ A child who came after much grief (from losing previous issues),,,,,,,
Nze,,,,,/Nze/ A titled man. Usually regarded as upstanding member of the community. Any of the titles below the Ozo title,,,,,,,
Nzeakor,,,,,/Nze-ak?/ Full expression: 'Nze-ak?-na-obi': An Nze will never be scarce or will always be found in the obi. See Ojiakor,,,,,,,
Nzekwe,,,,,/Nze-kwe/ If the Nze permits,,,,,,,
Nzeogwu,,,,,/Nze-ogwu/ Ogwugwu's Nze,,,,,,,
Nzimiro,,,,,,,,,,,,
Nzube,,,,,/Nzube/ Purpose. Commonly Nzubechukwu,,,,,,,
Nzubechukwu,,,,,/Nzube-chukwu/ God's purpose,,,,,,,
Nzuteigbo,,,,,/Nzute-igbo/ The meeting of the Igbos,,,,,,,
Obasi,,,,,"/?bas?/ full expression: ""Obasi-bi-na-igwe"": The Almighty God who resides in the heavens",,,,,,,
Obaze,,,,,,,,,,,,
Obele,,,,,/Obele/ Little or Small,,,,,,,
Obeleagu,,,,,/Obele-agu/ Young or Little Leopard,,,,,,,
Obennebo,,,,,,,,,,,,
Obi,,,,,"/Obi/ 1. first house in a family compound that serves as the center of the family's physical and spiritual administration. 2. (loosely) The family compound 3. The family, kindred, kin group. A dialectal var. of Obu",,,,,,,
Obi (2),,,,,"/Obi/ Mind or heart. short for such names as Obinna, Obioma, Obiora",,,,,,,
Obiageli,,,,,/?b?a-ga-eli/ One who has come to live a good life. A dialectal var. of Obiageri,,,,,,,
Obiageri,,,,,/?b?a-ga-eri/ One who has come to live a good life. A dialectal var. of Obiageli,,,,,,,
Obiajulu,,,,,/Obi-aj?l?/ The heart has found peace,,,,,,,
Obialu,,,,,/?b?al?/ lit: He/She came. Short for Obialunamma,,,,,,,
Obialunamma,,,,,/O-b?alu-na-mma/ One/ A child who came at a good time,,,,,,,
Obiano,,,,,,,,,,,,
Obianokwalu,,,,,/Obi-a-n?kwalu/ The family stands again. Also rendered as Obianowalu,,,,,,,
Obianowalu,,,,,/Obi-a-n?wal?/ The family stands again. Also rendered as Obianokwalu,,,,,,,
Obianuju,,,,,/?b?a-na-uju/ Short form of the expression: /Obia-na-uju-aku/. One who comes with into abundance of wealth,,,,,,,
Obiatuegwu,,,,,/Obi-at?ghi-egwu/The family/kindred that is fearless,,,,,,,
Obidi,,,,,/Obi-di/ The Obi thrives,,,,,,,
Obidimma,,,,,/Obi-d?-mma/ The Obi that's in good stead. A dialectal var. of Obudumma,,,,,,,
Obiechina,,,,,/Obi-echina/ May the Obi never cease to be,,,,,,,
Obiefuna,,,,,/Obi-efuna/ May the Obi never be lost,,,,,,,
Obiekwe,,,,,/Obi-ekwe/ The heart agrees. A dialectal var. of Obuekwe,,,,,,,
Obienu,,,,,,,,,,,,
Obienyem,,,,,/Obi-enye-m/ The Obi has given me,,,,,,,
Obieze,,,,,/Obi-eze/ The kings Obi,,,,,,,
Obigwu,,,,,,,,,,,,
Obijiaku,,,,,/Obi-ji-ak?/ The wealthy Obi,,,,,,,
Obikwelu,,,,,"/Obi-kwel?/ The Obi that is worthy of.... Eg. in /Obi-kwelu-Ugo/ A family worthy of honour. A dialectal var. of Obikwere, Obukwelu",,,,,,,
Obikwere,,,,,"/Obi-kwere/ The Obi that is worthy of.... Eg. in /Obi-kwere-Ugo/ A family worthy of honour. A dialectal var of Obikwelu, Obukwelu",,,,,,,
Obimdike,,,,,/Obi-m-d?-ike/ My heart is steadfast,,,,,,,
Obineche,,,,,/Obi-na-eche/ The Obi that protects,,,,,,,
Obinigwe,,,,,/O-bi-na-igwe/ One who resides in the sky or heaven or above,,,,,,,
Obinna,,,,,/Obi-nna/ The father's heart,,,,,,,
Obinwa,,,,,/Obi-nwa/ The child's Obi,,,,,,,
Obinwanne,,,,,/Obi-nwanne/ Brotherhood,,,,,,,
Obinwogu,,,,,/Obi-nwe-?g?/ The Obi that leads the battle.,,,,,,,
Obinze,,,,,/Obi-nze/ The Obi of an Nze,,,,,,,
Obioma,,,,,/Obi-?ma/ A good heart,,,,,,,
Obiora,,,,,/Obi-?ra/ The heart of the people,,,,,,,
Obiweluozor,,,,,/Obi-wel?-?z?/ The Obi that has taken the ?z? title or The Obi that has produced an ?z? title holder,,,,,,,
Obu,,,,,"/Obu/ 1. first house in a family compound that serves as the center of the family's material and spiritual administration. 2. (loosely) The family compound 3. The family, kindred, kin group. A dialectal var. of Obi",,,,,,,
Obualor,,,,,/Obu-al?/ The Obu of the Al? deity,,,,,,,
Obudumma ,,,,,/Obu-du-mma/ Let the family be in good stead. A dialectal var. of Obidimma,,,,,,,
Obuegbe,,,,,The bearer of fire arm,,,,,,,
Obuekezie,,,,,/Obu-ekezie/ lit: The family has shared it's parts fairly. imp: balance ,,,,,,,
Obuekwe,,,,,/Obu-ekwe/ The heart agrees. A dialectal var. of Obiekwe,,,,,,,
Obukwelu,,,,,"/Obu-kwel?/ The kinship/family that is worthy of.... Eg. in /Obi-kwere-Ugo/ A family worthy of honour. A dialectal var of Obikwelu, Obikwere",,,,,,,
Obumneme,,,,,/?-b?-m-na-eme/ Am I the instigator or cause?,,,,,,,
Obumselu,,,,,/?-b?-m-sel?/Am I the cause of the division,,,,,,,
Ochuonu,,,,,/?ch?-?n?/ Slander,,,,,,,
Odah,,,,,,,,,,,,
Odenigbo,,,,,/O-de-na-Igbo/ One or a thing whose fame resounds all over Igboland.,,,,,,,
Odera,,,,,"/O-dera/ lit: Once (he/she) has written. Short for the expression: /O-dera-O-dego/ Once (he/she) has written, it can't be undone. See; Chidera ",,,,,,,
Odiara,,,,,,,,,,,,
Odiegwu,,,,,/?-d?-egwu/ Something amazing,,,,,,,
Odigwe,,,,,/?d?-igwe/ One or a thing who is a multitude,,,,,,,
Odimegwu,,,,,/?di-m-egwu/ It amazes me,,,,,,,
Odinaka,,,,,/?-d?-na-aka/ It is in (the) hand. short  for: Odinakachukwu,,,,,,,
Odinakachukwu,,,,,/?-d?-na-aka-chukwu/ It is in God's hands,,,,,,,
Odinigwe,,,,,/?-di-na-?gwe/ A thing in the sky,,,,,,,
Odoemena,,,,,/?d?-emena/ This kind (of event or situation) should not repeat itself or befall us a second time. A dialectal var. of Ozoemena. ,,,,,,,
Oduagu,,,,,/?d?-ag?/ Leopard's tail,,,,,,,
Odum,,,,,/?d?m/ Lion,,,,,,,
